City Name,Country,Lat,Lng,temp,max_temp,clouds,humidity,wind_speed
San Patricio,MX,27.9999695,-97.5247243,87.8,87.8,40,66,11.41
Saint George,BM,37.0965278,-113.5684164,69.8,69.8,20,49,11.41
Moose Factory,CA,51.262486,-80.59296499999999,,,,,
Rikitea,PF,-23.119901,-134.9702654,73,73,48,100,18.59
Cape Town,ZA,-33.9248685,18.4240553,60.8,60.8,20,87,10.29
Hilo,US,19.7070942,-155.0884869,73.4,73.4,1,69,4.61
Albany,AU,42.6525793,-73.7562317,60.71,60.71,68,91,4.16
Ushuaia,AR,-54.8019121,-68.3029511,33.8,33.8,75,100,24.16
Northam,AU,-31.6525301,116.6654836,57.2,57.2,0,87,2.24
Aldan,RU,39.9215013,-75.2879631,-16.25,-16.25,44,68,2.59
Bluff,NZ,-29.9218618,31.0048384,50.63,50.63,0,100,9.98
Puerto Ayora,EC,-0.7432918,-90.3156893,78.8,78.8,20,50,16.11
Mataura,PF,-46.1934288,168.8660155,,,,,
Sitka,US,57.0530556,-135.33,33.28,37.4,90,93,4.7
Vaini,TO,-21.1935,-175.1751534,78.8,78.8,75,94,2.24
Tasiilaq,GL,65.6134561,-37.6335696,15.8,15.8,20,56,4.7
East London,ZA,-33.0291582,27.8545867,60.8,60.8,0,72,4.7
Husavik,IS,66.0449706,-17.3383442,19.4,19.4,40,85,4.7
Vostok,RU,46.4467186,135.825196,-6.84,-6.84,24,70,3.71
Touros,BR,-5.1961669,-35.4635381,84.7,84.7,0,65,14.79
Lardos,GR,36.0941745,28.0162191,59,59,40,87,2.24
Georgiyevskoye,RU,44.1626242,39.2497974,32.99,32.99,88,88,8.75
Mar Del Plata,AR,-38.0054771,-57.5426106,59,59,40,51,16.11
Ushuaia,AR,-54.8019121,-68.3029511,33.8,33.8,75,100,24.16
Maragogi,BR,-9.010379799999999,-35.2208051,80.2,80.2,92,79,9.42
Vaini,TO,-21.1935,-175.1751534,78.8,78.8,75,94,2.24
Cape Town,ZA,-33.9248685,18.4240553,60.8,60.8,20,87,10.29
Shima,CN,25.926667,-80.30816,60.8,60.8,75,72,17.9
Ushuaia,AR,-54.8019121,-68.3029511,33.8,33.8,75,100,24.16
Hamilton,BM,39.3995008,-84.5613355,69.8,69.8,20,49,11.41
San Patricio,MX,27.9999695,-97.5247243,87.8,87.8,40,66,11.41
Georgetown,SH,38.9076089,-77.07225849999999,77,77,20,65,17.22
Taolanaro,MG,-25.0225309,46.9853688,,,,,
Ponta Delgada,PT,37.7428301,-25.6805868,66.2,66.2,40,82,5.82
Cabo San Lucas,MX,22.8905327,-109.9167371,91.47,93.2,5,21,4.7
Muscle Shoals,US,34.7448112,-87.66752919999999,68.43,69.8,90,73,17.22
Jamestown,SH,37.2082678,-76.77408969999999,68.05,68.05,64,100,15.79
Ayan,RU,56.45405599999999,138.167328,-16.02,-16.02,0,100,9.19
